Кришнаиты                                    | Павлодарское общество сознания Кришны                                                                | -              | Гузачев Леонид Леонидович     | г.Павлодар     | ул.Павлова               | 1-68           | 54-48-89
Иудаизм                                      | Еврейская община Павлодарской области                                                                | Раввин         | Шимон Аш                      | г.Павлодар     | ул.Ак.Сатпаева           | 162            | 61-85-34
Свидетели Иеговы                             | Христианская община Свидетелей Иеговы Павлодарской области                                           | Старейшина     | Баулин Игорь Геннадьевич      | г.Павлодар     | ул.И.Байзакова           | 100            | 62-90-58
Новоапостольская церковь                     | Христианская Новоапостольская церковь г.Павлодар                                                     | Священник      | Якушев Николай Николаевич     | г.Павлодар     | ул.Естая                 | 54-4           | 30-06-41
Адвентисты седьмого дня                      | Поместная церковь христиан Адвентистов седьмого дня г.Павлодар                                       | Пастор         | Минин Дмитрий                 | г.Павлодар     | ул.Челябинская           | 6              | 57-09-52
Пресвитерианские церкви                      | Христианская Евангельская пятидесятническая Церковь «Источник жизни»                                 | Пастор         | Лиховид Игорь Валерьевич      | г.Павлодар     | ул.Достоевского          | 80-1           | 67-98-70
Пресвитерианские церкви                      | Христианская пресвитерианская церковь «Алия»                                                         | -              | Жангозин Кайрат Мукажанович   | г.Павлодар     | ул.Боткина               | 185            | 78-24-63
Пятидесятнические церкви                     | Христиан Веры евангельской «Церковь Иисуса Христа»                                                   | Старший пастор | Остяков Виталий Михайлович    | г.Павлодар     | ул.Кисловодская          | 92             | 50-15-61
Пятидесятнические церкви                     | Миссия благотворения и евангелизации «ИОСИФ» Христиан Веры Евангельской (пятидесятников) г.Павлодар  | Пресвитер      | Егоренков Иван Степанович     | г.Павлодар     | ул.Ростовская            | 60             | 54-83-13, 50-04-55
Пятидесятнические церкви                     | Церковь Христиан веры Евангельской «Новая жизнь»                                                     | Пастор         | Шипачев Вячеслав Михайлович   | г.Павлодар     | ул.Российская            | 57             | 51-61-01
Методистские церкви                          | Евангельская Методистская Церковь «Любовь и Святость»                                                | Пастор         | Михайлов Александр Викторович | г.Павлодар     | ул.Чернышевского         | 123            | -
Методистские церкви                          | Методистская церковь «Надежда»                                                                       | Пастор         | Ким Сонг Су                   | г.Павлодар     | ул.Ген.Дюсенова          | 1а             | 55-42-23, 87782302737
Союз Церквей евангельских христиан-баптистов | Церковь «Надежда на Христа Евангельских христиан-баптистов г.Павлодар                                | Пастор         | Бош Валентин Андреевич        | г.Павлодар     | ул.Ген.Дюсенова          | 112            | -
Союз Церквей евангельских христиан-баптистов | Евангельские христиане–баптисты «Шындық»                                                             | Пастор         | Васильев Алексей Владимирович | г.Павлодар     | ул. 1 Мая                | 151            | 32-43-93
Союз Церквей евангельских христиан-баптистов | Павлодарская община Евангельских христиан-баптистов                                                  | Пресвитер      | Клочков Юрий Гаврилович       | г.Павлодар     | ул.Орджоникидзе          | 39             | 34-96-50
Евангелическо–лютеранская церковь            | Евангелическо-лютеранский приход Павлодарской области                                                | Пастор         | Шарих Николай Юрьевич         | г.Павлодар     | ул.Омская                | 95             | 61-78-48
Католицизм                                   | Украинская Греко-католическая церковь» «Святых Петра и Павла»                                        | Настоятель     | Головчук Ярослав Ярославович  | г.Павлодар     | ул.Елгина                | 13             | 33-58-91
Католицизм                                   | Римско-Католический Приход «Святой Терезы Младенца Иисуса»                                           | Настоятель     | Родонь Ян Мариуш              | г.Павлодар     | ул.Суворова              | 68             | 50-14-83, 50-05-45
Православие                                  | Приход Михаило–Архангельского храма г.Павлодар Павлодарской и Экибастузской епархии                  | Епископ        | Варнава                       | г.Павлодар     | ул.Камзина               | 67/3           | -
Православие                                  | Петропавловский женский монастырь Павлодарской и Экибастузской епархии                               | Монахиня       | Серафима                      | с.Павлодарское | ул.Школьная              | 15/1           | 31-80-20
